xy,dataset_sec,inference_sec
8,0.01613598160003312,0.004137300013098866
16,0.016787972000194714,0.006699099962133914
24,0.0182561212007422,0.007889300002716482
32,0.019445312798954548,0.015154100023210049
40,0.020446606799261646,0.025569199991878122
48,0.02312354880059138,0.034404899983201176
56,0.02528317080088891,0.04521449998719618
64,0.02861433640215546,0.059910699957981706
