xy,dataset_sec,inference_sec
16,0.017494347400177503,0.005027100000006612
24,0.017589536800020143,0.004920599996694364
32,0.020854348200198727,0.005484950001118705
40,0.019619817799859447,0.008418999997957144
48,0.022973070399893915,0.011450450008851476
56,0.02644039519992657,0.016085800001746975
64,0.03099114540030132,0.027386350004235283
