time,n_samples,T
0.03929269999207463,500,250
0.038294099998893216,500,250
0.03467000000819098,500,250
0.03174009999202099,500,250
0.028596000003744848,500,250
0.029330699995625764,500,250
0.02865409999503754,500,250
0.029250599996885285,500,250
0.02949339999759104,500,250
0.030914899994968437,500,250
0.0300196999887703,500,250
0.03283660000306554,500,250
0.03218389999528881,500,250
0.029550399995059706,500,250
0.030080099997576326,500,250
0.03005200000188779,500,250
0.029883700000937097,500,250
0.028467899988754652,500,250
0.03069590000086464,500,250
0.030971299987868406,500,250
0.029272100000525825,500,250
0.029293600004166365,500,250
0.028917600007844158,500,250
0.029028000004473142,500,250
0.029496200004359707,500,250
0.02888770001300145,500,250
0.05358700000215322,500,250
0.054821400000946596,500,250
0.029635300001245923,500,250
0.028848500005551614,500,250
0.030189500001142733,500,250
0.029872400002204813,500,250
0.029574600004707463,500,250
0.03175120000378229,500,250
0.03133539999544155,500,250
0.03284169999824371,500,250
0.03184749999491032,500,250
0.03297210000164341,500,250
0.03186820000701118,500,250
0.03204589999222662,500,250
0.03213089999917429,500,250
0.029981699990457855,500,250
0.030310400004964322,500,250
0.03160470000875648,500,250
0.02900009999575559,500,250
0.028502100001787767,500,250
0.029880699992645532,500,250
0.030733899999177083,500,250
0.028335100010735914,500,250
0.03146159999596421,500,250
0.028493399993749335,500,250
0.0290889000025345,500,250
0.03061520001210738,500,250
0.030973000000813045,500,250
0.033765899992431514,500,250
0.029595500003779307,500,250
0.030301600010716356,500,250
0.029131599992979318,500,250
0.028807900001993403,500,250
0.02925880000111647,500,250
0.03001360000052955,500,250
0.028671699998085387,500,250
0.028153100007330067,500,250
0.030902099999366328,500,250
0.029032299993559718,500,250
0.02875369999674149,500,250
0.028712600003927946,500,250
0.02877029999217484,500,250
0.028277400007937104,500,250
0.027917100000195205,500,250
0.029344900001888163,500,250
0.030841400002827868,500,250
0.030488000003970228,500,250
0.029630499993800186,500,250
0.02984180000203196,500,250
0.035348299992620014,500,250
0.03173050000623334,500,250
0.030018500008736737,500,250
0.031139200000325218,500,250
0.030900400000973605,500,250
0.031107900009374134,500,250
0.03030389999912586,500,250
0.030104699995717965,500,250
0.030766900003072806,500,250
0.03012490000401158,500,250
0.030580300008296035,500,250
0.03267200000118464,500,250
0.03255280001030769,500,250
0.031955300000845455,500,250
0.030820300002233125,500,250
0.031438800011528656,500,250
0.031275200002710335,500,250
0.032132099993759766,500,250
0.03213180000602733,500,250
0.03913989999273326,500,250
0.03338550000626128,500,250
0.03297529999690596,500,250
0.03235290000156965,500,250
0.033544100006110966,500,250
0.0323725999915041,500,250
0.032310200011124834,500,250
0.032075900002382696,500,250
0.03206470000441186,500,250
0.03212879999773577,500,250
0.032248499992419966,500,250
0.03175609999743756,500,250
0.032612300012260675,500,250
0.03345499999704771,500,250
0.03176910000911448,500,250
0.03190539999923203,500,250
0.03182449999439996,500,250
0.032439699993119575,500,250
0.030617899989010766,500,250
0.031015700005809776,500,250
0.030360000004293397,500,250
0.030695600013132207,500,250
0.031237699993653223,500,250
0.030399600000237115,500,250
0.031217899988405406,500,250
0.03807789999700617,500,250
0.03359350000391714,500,250
0.0298153000039747,500,250
0.030015199998160824,500,250
0.031114900004467927,500,250
0.03087049999157898,500,250
0.029898699998739175,500,250
0.02889849999337457,500,250
0.030213799997000024,500,250
0.029896199994254857,500,250
0.029838500006007962,500,250
0.02938469999935478,500,250
0.03026270000555087,500,250
0.030629600005340762,500,250
0.031717500009108335,500,250
0.03175139999075327,500,250
0.03324079999583773,500,250
0.0338639000110561,500,250
0.03220780000265222,500,250
0.03180460000294261,500,250
0.03305650000402238,500,250
0.031043099996168166,500,250
0.03120399999897927,500,250
0.029976799996802583,500,250
0.02965789999871049,500,250
0.03016169999318663,500,250
0.030042200000025332,500,250
0.03045350000320468,500,250
0.03198450000490993,500,250
0.030376099995919503,500,250
0.02932679999503307,500,250
0.02826729998923838,500,250
0.02972310000041034,500,250
0.028526000009151176,500,250
0.029432099996483885,500,250
0.02918259998841677,500,250
0.030788700008997694,500,250
0.031493000002228655,500,250
0.029349799995543435,500,250
0.02916769999137614,500,250
0.031369500007713214,500,250
0.02957369999785442,500,250
0.027779899988672696,500,250
0.02842219999001827,500,250
0.029932699995697476,500,250
0.029190100001869723,500,250
0.030397700000321493,500,250
0.030591000002459623,500,250
0.030225499998778105,500,250
0.030160999987856485,500,250
0.02992679999442771,500,250
0.029903799993917346,500,250
0.029881300011766143,500,250
0.030186699994374067,500,250
0.02916890000051353,500,250
0.028819700004532933,500,250
0.02957369999785442,500,250
0.0288762999989558,500,250
0.028498699990450405,500,250
0.028664299999945797,500,250
0.028850400005467236,500,250
0.030809399991994724,500,250
0.02925519998825621,500,250
0.02918409999983851,500,250
0.02979149999737274,500,250
0.028695400003925897,500,250
0.02880620000360068,500,250
0.029380100007983856,500,250
0.03406130000075791,500,250
0.03364460000011604,500,250
0.034969500004081056,500,250
0.03160139999818057,500,250
0.030065200000535697,500,250
0.033147199996165,500,250
0.0290238000015961,500,250
0.028584600004251115,500,250
0.02960460000031162,500,250
0.028500600004917942,500,250
0.02931230000103824,500,250
0.029724300009547733,500,250
0.031006899997009896,500,250
0.03538729999854695,500,250
0.03135150000161957,500,250
0.03618409999762662,500,250
0.03860650000569876,500,250
